product_concept_key,product_name,core_family,product_form,sku_count,scent_identity_status,scent_identity_values,note_status,note_values,scent_profile_status,scent_profile_values,function_status,function_values,function_evidence_fields,scene_status,scene_values,scene_evidence_fields,user_need_status,user_need_values,user_need_evidence_fields,care_status,care_values,care_evidence_fields,inspiration_status,inspiration_evidence_fields,material_status,material_values,material_evidence_fields,craft_status,craft_evidence_fields,compatibility_status,evidence_field_count,evidence_fields,direct_semantic_dimension_count,manual_review_flags,source_url
CANDLEFBG2::中号香氛蜡烛炭木香,中号香氛蜡烛-炭木香,家居香氛,中号香氛蜡烛,1,direct,炭木香,none,,direct,木质香调,direct,留香,pdp_short_description|usage_tips_text,direct,中大型房间,caracteristics_text,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,5,care_instruction_not_product_function,https://www.diptyque-cn.com/p/feu-bois-wood-fire-candle-remavp.html
CANDLEFI15001::超大号香氛蜡烛无花果,超大号香氛蜡烛-无花果,家居香氛,超大号香氛蜡烛,1,direct,无花果,none,,direct,果香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|首次燃烧,caracteristics_text|usage_tips_text,direct,story_text,none,,,none,,none,5,pdp_short_description|pdp_long_description|usage_tips_text|story_text|caracteristics_text,4,care_instruction_not_product_function,https://www.diptyque-cn.com/p/figuier-fig-tree-interior-exterior-candle.html
CANDLEFI600::大号香氛蜡烛无花果,大号香氛蜡烛-无花果,家居香氛,大号香氛蜡烛,1,candidate,无花果,none,,direct,果香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|首次燃烧,usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|description_text|usage_tips_text,2,care_instruction_not_product_function|scent_identity_name_only,https://www.diptyque-cn.com/p/home-fi600-600g.html
CANDLEFI::迷你香氛蜡烛无花果,迷你香氛蜡烛-无花果,家居香氛,迷你香氛蜡烛,1,direct,无花果,none,,direct,果香调,direct,留香,pdp_short_description|usage_tips_text,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,4,care_instruction_not_product_function,https://www.diptyque-cn.com/p/figuier-fig-tree-small-candle.html
CANDLEFI::香氛蜡烛无花果,香氛蜡烛-无花果,家居香氛,经典香氛蜡烛,1,direct,无花果,none,,direct,果香调,direct,扩香,pdp_long_description|usage_tips_text,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,4,care_instruction_not_product_function,https://www.diptyque-cn.com/p/bougie-figuier-190-remavp.html
CANDLEFIV2::中号香氛蜡烛无花果,中号香氛蜡烛-无花果,家居香氛,中号香氛蜡烛,1,direct,无花果,none,,direct,果香调,direct,留香,pdp_short_description|usage_tips_text,direct,中大型房间,caracteristics_text,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,5,care_instruction_not_product_function,https://www.diptyque-cn.com/p/bougie-figuier-verte-remavp.html
CANDLEFL::迷你香氛蜡烛薰衣草,迷你香氛蜡烛-薰衣草,家居香氛,迷你香氛蜡烛,1,none,,none,,direct,草本香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,2,care_instruction_not_product_function,https://www.diptyque-cn.com/p/feuille-de-lavande-lavender-leaf-small-candle-1.html
CANDLEFL::香氛蜡烛薰衣草,香氛蜡烛-薰衣草,家居香氛,经典香氛蜡烛,1,none,,none,,direct,草本香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,2,care_instruction_not_product_function,https://www.diptyque-cn.com/p/bougie-feuille-de-lavande-190g-1-remavp.html
CANDLEFR::迷你香氛蜡烛小苍兰,迷你香氛蜡烛-小苍兰,家居香氛,迷你香氛蜡烛,1,none,,none,,direct,花香调,direct,留香,pdp_long_description|usage_tips_text,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,3,care_instruction_not_product_function,https://www.diptyque-cn.com/p/freesia-mini-candle-1.html
CANDLEFR::香氛蜡烛小苍兰,香氛蜡烛-小苍兰,家居香氛,经典香氛蜡烛,1,none,,none,,direct,花香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,2,care_instruction_not_product_function,https://www.diptyque-cn.com/p/freesia-candle-1-remavp.html
